,COUNTYNAME,Year,Provisional Drug Overdose Deaths,Coordinates
10,Ashland,2022,137,"[[[-82.129, 40.992], [-82.127, 40.778], [-82.126, 40.668], [-82.221, 40.668], [-82.22, 40.568], [-82.337, 40.555], [-82.339, 40.727], [-82.378, 40.727], [-82.378, 40.788], [-82.39, 40.797], [-82.388, 40.808], [-82.408, 40.808], [-82.417, 40.814], [-82.415, 40.828], [-82.418, 40.993], [-82.433, 40.993], [-82.437, 41.065], [-82.337, 41.066], [-82.171, 41.064], [-82.174, 40.992], [-82.129, 40.992]]]"
11,Ashland,2023,127,"[[[-82.129, 40.992], [-82.127, 40.778], [-82.126, 40.668], [-82.221, 40.668], [-82.22, 40.568], [-82.337, 40.555], [-82.339, 40.727], [-82.378, 40.727], [-82.378, 40.788], [-82.39, 40.797], [-82.388, 40.808], [-82.408, 40.808], [-82.417, 40.814], [-82.415, 40.828], [-82.418, 40.993], [-82.433, 40.993], [-82.437, 41.065], [-82.337, 41.066], [-82.171, 41.064], [-82.174, 40.992], [-82.129, 40.992]]]"
12,Ashtabula,2020,461,"[[[-80.519, 41.499], [-80.619, 41.498], [-80.811, 41.501], [-80.868, 41.5], [-81.003, 41.502], [-81.003, 41.715], [-81.002, 41.853], [-80.95, 41.862], [-80.903, 41.869], [-80.849, 41.888], [-80.818, 41.897], [-80.801, 41.907], [-80.784, 41.906], [-80.756, 41.916], [-80.728, 41.919], [-80.682, 41.931], [-80.652, 41.941], [-80.628, 41.944], [-80.597, 41.956], [-80.543, 41.969], [-80.518, 41.978], [-80.519, 41.888], [-80.518, 41.747], [-80.519, 41.499]]]"
13,Ashtabula,2021,530,"[[[-80.519, 41.499], [-80.619, 41.498], [-80.811, 41.501], [-80.868, 41.5], [-81.003, 41.502], [-81.003, 41.715], [-81.002, 41.853], [-80.95, 41.862], [-80.903, 41.869], [-80.849, 41.888], [-80.818, 41.897], [-80.801, 41.907], [-80.784, 41.906], [-80.756, 41.916], [-80.728, 41.919], [-80.682, 41.931], [-80.652, 41.941], [-80.628, 41.944], [-80.597, 41.956], [-80.543, 41.969], [-80.518, 41.978], [-80.519, 41.888], [-80.518, 41.747], [-80.519, 41.499]]]"
14,Ashtabula,2022,408,"[[[-80.519, 41.499], [-80.619, 41.498], [-80.811, 41.501], [-80.868, 41.5], [-81.003, 41.502], [-81.003, 41.715], [-81.002, 41.853], [-80.95, 41.862], [-80.903, 41.869], [-80.849, 41.888], [-80.818, 41.897], [-80.801, 41.907], [-80.784, 41.906], [-80.756, 41.916], [-80.728, 41.919], [-80.682, 41.931], [-80.652, 41.941], [-80.628, 41.944], [-80.597, 41.956], [-80.543, 41.969], [-80.518, 41.978], [-80.519, 41.888], [-80.518, 41.747], [-80.519, 41.499]]]"
15,Ashtabula,2023,519,"[[[-80.519, 41.499], [-80.619, 41.498], [-80.811, 41.501], [-80.868, 41.5], [-81.003, 41.502], [-81.003, 41.715], [-81.002, 41.853], [-80.95, 41.862], [-80.903, 41.869], [-80.849, 41.888], [-80.818, 41.897], [-80.801, 41.907], [-80.784, 41.906], [-80.756, 41.916], [-80.728, 41.919], [-80.682, 41.931], [-80.652, 41.941], [-80.628, 41.944], [-80.597, 41.956], [-80.543, 41.969], [-80.518, 41.978], [-80.519, 41.888], [-80.518, 41.747], [-80.519, 41.499]]]"
16,Athens,2020,150,"[[[-81.845, 39.45], [-81.853, 39.318], [-81.834, 39.317], [-81.835, 39.303], [-81.817, 39.302], [-81.818, 39.273], [-81.72, 39.271], [-81.721, 39.216], [-81.735, 39.197], [-81.752, 39.181], [-81.957, 39.189], [-82.079, 39.194], [-82.269, 39.204], [-82.26, 39.293], [-82.298, 39.295], [-82.29, 39.384], [-82.281, 39.473], [-82.167, 39.466], [-82.159, 39.556], [-82.048, 39.551], [-82.057, 39.461], [-82.034, 39.458], [-81.937, 39.455], [-81.845, 39.45]]]"
17,Athens,2021,322,"[[[-81.845, 39.45], [-81.853, 39.318], [-81.834, 39.317], [-81.835, 39.303], [-81.817, 39.302], [-81.818, 39.273], [-81.72, 39.271], [-81.721, 39.216], [-81.735, 39.197], [-81.752, 39.181], [-81.957, 39.189], [-82.079, 39.194], [-82.269, 39.204], [-82.26, 39.293], [-82.298, 39.295], [-82.29, 39.384], [-82.281, 39.473], [-82.167, 39.466], [-82.159, 39.556], [-82.048, 39.551], [-82.057, 39.461], [-82.034, 39.458], [-81.937, 39.455], [-81.845, 39.45]]]"
18,Athens,2022,326,"[[[-81.845, 39.45], [-81.853, 39.318], [-81.834, 39.317], [-81.835, 39.303], [-81.817, 39.302], [-81.818, 39.273], [-81.72, 39.271], [-81.721, 39.216], [-81.735, 39.197], [-81.752, 39.181], [-81.957, 39.189], [-82.079, 39.194], [-82.269, 39.204], [-82.26, 39.293], [-82.298, 39.295], [-82.29, 39.384], [-82.281, 39.473], [-82.167, 39.466], [-82.159, 39.556], [-82.048, 39.551], [-82.057, 39.461], [-82.034, 39.458], [-81.937, 39.455], [-81.845, 39.45]]]"
19,Athens,2023,311,"[[[-81.845, 39.45], [-81.853, 39.318], [-81.834, 39.317], [-81.835, 39.303], [-81.817, 39.302], [-81.818, 39.273], [-81.72, 39.271], [-81.721, 39.216], [-81.735, 39.197], [-81.752, 39.181], [-81.957, 39.189], [-82.079, 39.194], [-82.269, 39.204], [-82.26, 39.293], [-82.298, 39.295], [-82.29, 39.384], [-82.281, 39.473], [-82.167, 39.466], [-82.159, 39.556], [-82.048, 39.551], [-82.057, 39.461], [-82.034, 39.458], [-81.937, 39.455], [-81.845, 39.45]]]"
