,COUNTYNAME,Year,Provisional Drug Overdose Deaths,Coordinates
47,Clermont,2023,818,"[[[-83.994, 39.254], [-84, 39.172], [-84.005, 39.147], [-84.041, 38.875], [-84.043, 38.847], [-84.053, 38.773], [-84.077, 38.773], [-84.153, 38.794], [-84.205, 38.803], [-84.226, 38.816], [-84.234, 38.839], [-84.233, 38.879], [-84.238, 38.895], [-84.253, 38.914], [-84.291, 38.958], [-84.297, 38.97], [-84.303, 39], [-84.319, 39.022], [-84.306, 39.117], [-84.3, 39.175], [-84.29, 39.181], [-84.279, 39.197], [-84.284, 39.213], [-84.312, 39.208], [-84.32, 39.225], [-84.297, 39.239], [-84.295, 39.247], [-84.262, 39.265], [-84.26, 39.27], [-84.007, 39.255], [-83.994, 39.254]]]"
48,Clinton,2020,248,"[[[-83.866, 39.247], [-83.994, 39.254], [-84.007, 39.255], [-83.984, 39.5], [-83.977, 39.569], [-83.67, 39.55], [-83.576, 39.545], [-83.591, 39.379], [-83.667, 39.334], [-83.786, 39.262], [-83.794, 39.242], [-83.811, 39.223], [-83.836, 39.223], [-83.834, 39.246], [-83.866, 39.247]]]"
49,Clinton,2021,259,"[[[-83.866, 39.247], [-83.994, 39.254], [-84.007, 39.255], [-83.984, 39.5], [-83.977, 39.569], [-83.67, 39.55], [-83.576, 39.545], [-83.591, 39.379], [-83.667, 39.334], [-83.786, 39.262], [-83.794, 39.242], [-83.811, 39.223], [-83.836, 39.223], [-83.834, 39.246], [-83.866, 39.247]]]"
50,Clinton,2022,286,"[[[-83.866, 39.247], [-83.994, 39.254], [-84.007, 39.255], [-83.984, 39.5], [-83.977, 39.569], [-83.67, 39.55], [-83.576, 39.545], [-83.591, 39.379], [-83.667, 39.334], [-83.786, 39.262], [-83.794, 39.242], [-83.811, 39.223], [-83.836, 39.223], [-83.834, 39.246], [-83.866, 39.247]]]"
51,Clinton,2023,229,"[[[-83.866, 39.247], [-83.994, 39.254], [-84.007, 39.255], [-83.984, 39.5], [-83.977, 39.569], [-83.67, 39.55], [-83.576, 39.545], [-83.591, 39.379], [-83.667, 39.334], [-83.786, 39.262], [-83.794, 39.242], [-83.811, 39.223], [-83.836, 39.223], [-83.834, 39.246], [-83.866, 39.247]]]"
52,Columbiana,2020,549,"[[[-80.665, 40.583], [-80.747, 40.583], [-80.747, 40.597], [-80.837, 40.598], [-80.862, 40.6], [-80.861, 40.643], [-80.918, 40.643], [-80.917, 40.701], [-80.918, 40.727], [-81.087, 40.728], [-81.087, 40.901], [-80.897, 40.901], [-80.896, 40.93], [-80.822, 40.93], [-80.822, 40.901], [-80.518, 40.9], [-80.518, 40.797], [-80.519, 40.639], [-80.55, 40.63], [-80.576, 40.616], [-80.604, 40.626], [-80.623, 40.621], [-80.636, 40.613], [-80.66, 40.593], [-80.665, 40.583]]]"
53,Columbiana,2021,630,"[[[-80.665, 40.583], [-80.747, 40.583], [-80.747, 40.597], [-80.837, 40.598], [-80.862, 40.6], [-80.861, 40.643], [-80.918, 40.643], [-80.917, 40.701], [-80.918, 40.727], [-81.087, 40.728], [-81.087, 40.901], [-80.897, 40.901], [-80.896, 40.93], [-80.822, 40.93], [-80.822, 40.901], [-80.518, 40.9], [-80.518, 40.797], [-80.519, 40.639], [-80.55, 40.63], [-80.576, 40.616], [-80.604, 40.626], [-80.623, 40.621], [-80.636, 40.613], [-80.66, 40.593], [-80.665, 40.583]]]"
54,Columbiana,2022,459,"[[[-80.665, 40.583], [-80.747, 40.583], [-80.747, 40.597], [-80.837, 40.598], [-80.862, 40.6], [-80.861, 40.643], [-80.918, 40.643], [-80.917, 40.701], [-80.918, 40.727], [-81.087, 40.728], [-81.087, 40.901], [-80.897, 40.901], [-80.896, 40.93], [-80.822, 40.93], [-80.822, 40.901], [-80.518, 40.9], [-80.518, 40.797], [-80.519, 40.639], [-80.55, 40.63], [-80.576, 40.616], [-80.604, 40.626], [-80.623, 40.621], [-80.636, 40.613], [-80.66, 40.593], [-80.665, 40.583]]]"
55,Columbiana,2023,509,"[[[-80.665, 40.583], [-80.747, 40.583], [-80.747, 40.597], [-80.837, 40.598], [-80.862, 40.6], [-80.861, 40.643], [-80.918, 40.643], [-80.917, 40.701], [-80.918, 40.727], [-81.087, 40.728], [-81.087, 40.901], [-80.897, 40.901], [-80.896, 40.93], [-80.822, 40.93], [-80.822, 40.901], [-80.518, 40.9], [-80.518, 40.797], [-80.519, 40.639], [-80.55, 40.63], [-80.576, 40.616], [-80.604, 40.626], [-80.623, 40.621], [-80.636, 40.613], [-80.66, 40.593], [-80.665, 40.583]]]"
56,Coshocton,2020,77,"[[[-81.709, 40.445], [-81.712, 40.371], [-81.616, 40.368], [-81.623, 40.221], [-81.668, 40.222], [-81.67, 40.152], [-81.717, 40.152], [-81.822, 40.156], [-82, 40.16], [-82.093, 40.163], [-82.188, 40.167], [-82.183, 40.239], [-82.196, 40.239], [-82.189, 40.366], [-82.185, 40.457], [-82.09, 40.453], [-82.085, 40.454], [-81.894, 40.448], [-81.709, 40.445]]]"
57,Coshocton,2021,193,"[[[-81.709, 40.445], [-81.712, 40.371], [-81.616, 40.368], [-81.623, 40.221], [-81.668, 40.222], [-81.67, 40.152], [-81.717, 40.152], [-81.822, 40.156], [-82, 40.16], [-82.093, 40.163], [-82.188, 40.167], [-82.183, 40.239], [-82.196, 40.239], [-82.189, 40.366], [-82.185, 40.457], [-82.09, 40.453], [-82.085, 40.454], [-81.894, 40.448], [-81.709, 40.445]]]"
58,Coshocton,2022,32,"[[[-81.709, 40.445], [-81.712, 40.371], [-81.616, 40.368], [-81.623, 40.221], [-81.668, 40.222], [-81.67, 40.152], [-81.717, 40.152], [-81.822, 40.156], [-82, 40.16], [-82.093, 40.163], [-82.188, 40.167], [-82.183, 40.239], [-82.196, 40.239], [-82.189, 40.366], [-82.185, 40.457], [-82.09, 40.453], [-82.085, 40.454], [-81.894, 40.448], [-81.709, 40.445]]]"
59,Coshocton,2023,63,"[[[-81.709, 40.445], [-81.712, 40.371], [-81.616, 40.368], [-81.623, 40.221], [-81.668, 40.222], [-81.67, 40.152], [-81.717, 40.152], [-81.822, 40.156], [-82, 40.16], [-82.093, 40.163], [-82.188, 40.167], [-82.183, 40.239], [-82.196, 40.239], [-82.189, 40.366], [-82.185, 40.457], [-82.09, 40.453], [-82.085, 40.454], [-81.894, 40.448], [-81.709, 40.445]]]"
60,Crawford,2020,138,"[[[-82.829, 40.997], [-82.725, 40.996], [-82.725, 40.875], [-82.727, 40.711], [-82.858, 40.712], [-82.858, 40.705], [-82.953, 40.704], [-83.111, 40.703], [-83.112, 40.972], [-83.113, 40.993], [-83.035, 40.994], [-82.86, 40.993], [-82.853, 40.997], [-82.829, 40.997]]]"
61,Crawford,2021,169,"[[[-82.829, 40.997], [-82.725, 40.996], [-82.725, 40.875], [-82.727, 40.711], [-82.858, 40.712], [-82.858, 40.705], [-82.953, 40.704], [-83.111, 40.703], [-83.112, 40.972], [-83.113, 40.993], [-83.035, 40.994], [-82.86, 40.993], [-82.853, 40.997], [-82.829, 40.997]]]"
62,Crawford,2022,51,"[[[-82.829, 40.997], [-82.725, 40.996], [-82.725, 40.875], [-82.727, 40.711], [-82.858, 40.712], [-82.858, 40.705], [-82.953, 40.704], [-83.111, 40.703], [-83.112, 40.972], [-83.113, 40.993], [-83.035, 40.994], [-82.86, 40.993], [-82.853, 40.997], [-82.829, 40.997]]]"
63,Crawford,2023,148,"[[[-82.829, 40.997], [-82.725, 40.996], [-82.725, 40.875], [-82.727, 40.711], [-82.858, 40.712], [-82.858, 40.705], [-82.953, 40.704], [-83.111, 40.703], [-83.112, 40.972], [-83.113, 40.993], [-83.035, 40.994], [-82.86, 40.993], [-82.853, 40.997], [-82.829, 40.997]]]"
64,Cuyahoga,2020,5870,"[[[-81.489, 41.632], [-81.488, 41.57], [-81.391, 41.57], [-81.391, 41.445], [-81.376, 41.446], [-81.375, 41.425], [-81.392, 41.425], [-81.392, 41.349], [-81.588, 41.351], [-81.588, 41.333], [-81.581, 41.315], [-81.557, 41.28], [-81.562, 41.278], [-81.685, 41.277], [-81.785, 41.276], [-81.878, 41.275], [-81.877, 41.35], [-81.971, 41.351], [-81.97, 41.478], [-81.968, 41.505], [-81.947, 41.496], [-81.914, 41.49], [-81.871, 41.486], [-81.85, 41.487], [-81.825, 41.494], [-81.798, 41.498], [-81.749, 41.489], [-81.716, 41.5], [-81.682, 41.52], [-81.66, 41.528], [-81.615, 41.554], [-81.57, 41.584], [-81.531, 41.614], [-81.489, 41.632]]]"
65,Cuyahoga,2021,6864,"[[[-81.489, 41.632], [-81.488, 41.57], [-81.391, 41.57], [-81.391, 41.445], [-81.376, 41.446], [-81.375, 41.425], [-81.392, 41.425], [-81.392, 41.349], [-81.588, 41.351], [-81.588, 41.333], [-81.581, 41.315], [-81.557, 41.28], [-81.562, 41.278], [-81.685, 41.277], [-81.785, 41.276], [-81.878, 41.275], [-81.877, 41.35], [-81.971, 41.351], [-81.97, 41.478], [-81.968, 41.505], [-81.947, 41.496], [-81.914, 41.49], [-81.871, 41.486], [-81.85, 41.487], [-81.825, 41.494], [-81.798, 41.498], [-81.749, 41.489], [-81.716, 41.5], [-81.682, 41.52], [-81.66, 41.528], [-81.615, 41.554], [-81.57, 41.584], [-81.531, 41.614], [-81.489, 41.632]]]"
66,Cuyahoga,2022,7048,"[[[-81.489, 41.632], [-81.488, 41.57], [-81.391, 41.57], [-81.391, 41.445], [-81.376, 41.446], [-81.375, 41.425], [-81.392, 41.425], [-81.392, 41.349], [-81.588, 41.351], [-81.588, 41.333], [-81.581, 41.315], [-81.557, 41.28], [-81.562, 41.278], [-81.685, 41.277], [-81.785, 41.276], [-81.878, 41.275], [-81.877, 41.35], [-81.971, 41.351], [-81.97, 41.478], [-81.968, 41.505], [-81.947, 41.496], [-81.914, 41.49], [-81.871, 41.486], [-81.85, 41.487], [-81.825, 41.494], [-81.798, 41.498], [-81.749, 41.489], [-81.716, 41.5], [-81.682, 41.52], [-81.66, 41.528], [-81.615, 41.554], [-81.57, 41.584], [-81.531, 41.614], [-81.489, 41.632]]]"
67,Cuyahoga,2023,7128,"[[[-81.489, 41.632], [-81.488, 41.57], [-81.391, 41.57], [-81.391, 41.445], [-81.376, 41.446], [-81.375, 41.425], [-81.392, 41.425], [-81.392, 41.349], [-81.588, 41.351], [-81.588, 41.333], [-81.581, 41.315], [-81.557, 41.28], [-81.562, 41.278], [-81.685, 41.277], [-81.785, 41.276], [-81.878, 41.275], [-81.877, 41.35], [-81.971, 41.351], [-81.97, 41.478], [-81.968, 41.505], [-81.947, 41.496], [-81.914, 41.49], [-81.871, 41.486], [-81.85, 41.487], [-81.825, 41.494], [-81.798, 41.498], [-81.749, 41.489], [-81.716, 41.5], [-81.682, 41.52], [-81.66, 41.528], [-81.615, 41.554], [-81.57, 41.584], [-81.531, 41.614], [-81.489, 41.632]]]"
68,Darke,2020,124,"[[[-84.434, 40.355], [-84.432, 40.197], [-84.426, 39.919], [-84.485, 39.918], [-84.596, 39.917], [-84.761, 39.916], [-84.814, 39.917], [-84.813, 40.006], [-84.811, 40.126], [-84.808, 40.174], [-84.806, 40.353], [-84.787, 40.353], [-84.6, 40.352], [-84.6, 40.353], [-84.495, 40.355], [-84.434, 40.355]]]"
69,Darke,2021,231,"[[[-84.434, 40.355], [-84.432, 40.197], [-84.426, 39.919], [-84.485, 39.918], [-84.596, 39.917], [-84.761, 39.916], [-84.814, 39.917], [-84.813, 40.006], [-84.811, 40.126], [-84.808, 40.174], [-84.806, 40.353], [-84.787, 40.353], [-84.6, 40.352], [-84.6, 40.353], [-84.495, 40.355], [-84.434, 40.355]]]"
70,Darke,2022,187,"[[[-84.434, 40.355], [-84.432, 40.197], [-84.426, 39.919], [-84.485, 39.918], [-84.596, 39.917], [-84.761, 39.916], [-84.814, 39.917], [-84.813, 40.006], [-84.811, 40.126], [-84.808, 40.174], [-84.806, 40.353], [-84.787, 40.353], [-84.6, 40.352], [-84.6, 40.353], [-84.495, 40.355], [-84.434, 40.355]]]"
71,Darke,2023,115,"[[[-84.434, 40.355], [-84.432, 40.197], [-84.426, 39.919], [-84.485, 39.918], [-84.596, 39.917], [-84.761, 39.916], [-84.814, 39.917], [-84.813, 40.006], [-84.811, 40.126], [-84.808, 40.174], [-84.806, 40.353], [-84.787, 40.353], [-84.6, 40.352], [-84.6, 40.353], [-84.495, 40.355], [-84.434, 40.355]]]"
72,Defiance,2020,30,"[[[-84.228, 41.166], [-84.342, 41.165], [-84.342, 41.209], [-84.457, 41.21], [-84.458, 41.254], [-84.689, 41.252], [-84.805, 41.253], [-84.806, 41.342], [-84.806, 41.426], [-84.574, 41.427], [-84.342, 41.428], [-84.228, 41.428], [-84.228, 41.341], [-84.228, 41.166]]]"
73,Defiance,2021,125,"[[[-84.228, 41.166], [-84.342, 41.165], [-84.342, 41.209], [-84.457, 41.21], [-84.458, 41.254], [-84.689, 41.252], [-84.805, 41.253], [-84.806, 41.342], [-84.806, 41.426], [-84.574, 41.427], [-84.342, 41.428], [-84.228, 41.428], [-84.228, 41.341], [-84.228, 41.166]]]"
74,Defiance,2022,114,"[[[-84.228, 41.166], [-84.342, 41.165], [-84.342, 41.209], [-84.457, 41.21], [-84.458, 41.254], [-84.689, 41.252], [-84.805, 41.253], [-84.806, 41.342], [-84.806, 41.426], [-84.574, 41.427], [-84.342, 41.428], [-84.228, 41.428], [-84.228, 41.341], [-84.228, 41.166]]]"
75,Defiance,2023,105,"[[[-84.228, 41.166], [-84.342, 41.165], [-84.342, 41.209], [-84.457, 41.21], [-84.458, 41.254], [-84.689, 41.252], [-84.805, 41.253], [-84.806, 41.342], [-84.806, 41.426], [-84.574, 41.427], [-84.342, 41.428], [-84.228, 41.428], [-84.228, 41.341], [-84.228, 41.166]]]"
76,Delaware,2020,373,"[[[-82.745, 40.35], [-82.751, 40.277], [-82.762, 40.126], [-82.938, 40.134], [-83.068, 40.138], [-83.17, 40.143], [-83.172, 40.244], [-83.248, 40.245], [-83.248, 40.368], [-83.25, 40.382], [-83.248, 40.444], [-83.114, 40.437], [-83.021, 40.434], [-83.022, 40.419], [-82.925, 40.414], [-82.93, 40.358], [-82.745, 40.35]]]"
77,Delaware,2021,446,"[[[-82.745, 40.35], [-82.751, 40.277], [-82.762, 40.126], [-82.938, 40.134], [-83.068, 40.138], [-83.17, 40.143], [-83.172, 40.244], [-83.248, 40.245], [-83.248, 40.368], [-83.25, 40.382], [-83.248, 40.444], [-83.114, 40.437], [-83.021, 40.434], [-83.022, 40.419], [-82.925, 40.414], [-82.93, 40.358], [-82.745, 40.35]]]"
78,Delaware,2022,436,"[[[-82.745, 40.35], [-82.751, 40.277], [-82.762, 40.126], [-82.938, 40.134], [-83.068, 40.138], [-83.17, 40.143], [-83.172, 40.244], [-83.248, 40.245], [-83.248, 40.368], [-83.25, 40.382], [-83.248, 40.444], [-83.114, 40.437], [-83.021, 40.434], [-83.022, 40.419], [-82.925, 40.414], [-82.93, 40.358], [-82.745, 40.35]]]"
79,Delaware,2023,353,"[[[-82.745, 40.35], [-82.751, 40.277], [-82.762, 40.126], [-82.938, 40.134], [-83.068, 40.138], [-83.17, 40.143], [-83.172, 40.244], [-83.248, 40.245], [-83.248, 40.368], [-83.25, 40.382], [-83.248, 40.444], [-83.114, 40.437], [-83.021, 40.434], [-83.022, 40.419], [-82.925, 40.414], [-82.93, 40.358], [-82.745, 40.35]]]"
80,Erie,2020,329,"[[[[-82.694, 41.616], [-82.676, 41.613], [-82.676, 41.602], [-82.693, 41.588], [-82.733, 41.605], [-82.721, 41.621], [-82.709, 41.625], [-82.694, 41.616]]], [[[-82.349, 41.429], [-82.342, 41.284], [-82.442, 41.284], [-82.542, 41.286], [-82.742, 41.288], [-82.842, 41.29], [-82.847, 41.43], [-82.903, 41.43], [-82.88, 41.443], [-82.858, 41.442], [-82.832, 41.455], [-82.826, 41.461], [-82.825, 41.475], [-82.806, 41.473], [-82.783, 41.463], [-82.767, 41.447], [-82.755, 41.446], [-82.731, 41.448], [-82.703, 41.461], [-82.688, 41.454], [-82.673, 41.453], [-82.649, 41.446], [-82.644, 41.432], [-82.613, 41.426], [-82.635, 41.44], [-82.651, 41.455], [-82.672, 41.468], [-82.682, 41.48], [-82.681, 41.488], [-82.652, 41.462], [-82.622, 41.442], [-82.592, 41.42], [-82.554, 41.402], [-82.519, 41.387], [-82.5, 41.382], [-82.469, 41.384], [-82.448, 41.391], [-82.367, 41.425], [-82.349, 41.429]]]]"
81,Erie,2021,376,"[[[[-82.694, 41.616], [-82.676, 41.613], [-82.676, 41.602], [-82.693, 41.588], [-82.733, 41.605], [-82.721, 41.621], [-82.709, 41.625], [-82.694, 41.616]]], [[[-82.349, 41.429], [-82.342, 41.284], [-82.442, 41.284], [-82.542, 41.286], [-82.742, 41.288], [-82.842, 41.29], [-82.847, 41.43], [-82.903, 41.43], [-82.88, 41.443], [-82.858, 41.442], [-82.832, 41.455], [-82.826, 41.461], [-82.825, 41.475], [-82.806, 41.473], [-82.783, 41.463], [-82.767, 41.447], [-82.755, 41.446], [-82.731, 41.448], [-82.703, 41.461], [-82.688, 41.454], [-82.673, 41.453], [-82.649, 41.446], [-82.644, 41.432], [-82.613, 41.426], [-82.635, 41.44], [-82.651, 41.455], [-82.672, 41.468], [-82.682, 41.48], [-82.681, 41.488], [-82.652, 41.462], [-82.622, 41.442], [-82.592, 41.42], [-82.554, 41.402], [-82.519, 41.387], [-82.5, 41.382], [-82.469, 41.384], [-82.448, 41.391], [-82.367, 41.425], [-82.349, 41.429]]]]"
82,Erie,2022,281,"[[[[-82.694, 41.616], [-82.676, 41.613], [-82.676, 41.602], [-82.693, 41.588], [-82.733, 41.605], [-82.721, 41.621], [-82.709, 41.625], [-82.694, 41.616]]], [[[-82.349, 41.429], [-82.342, 41.284], [-82.442, 41.284], [-82.542, 41.286], [-82.742, 41.288], [-82.842, 41.29], [-82.847, 41.43], [-82.903, 41.43], [-82.88, 41.443], [-82.858, 41.442], [-82.832, 41.455], [-82.826, 41.461], [-82.825, 41.475], [-82.806, 41.473], [-82.783, 41.463], [-82.767, 41.447], [-82.755, 41.446], [-82.731, 41.448], [-82.703, 41.461], [-82.688, 41.454], [-82.673, 41.453], [-82.649, 41.446], [-82.644, 41.432], [-82.613, 41.426], [-82.635, 41.44], [-82.651, 41.455], [-82.672, 41.468], [-82.682, 41.48], [-82.681, 41.488], [-82.652, 41.462], [-82.622, 41.442], [-82.592, 41.42], [-82.554, 41.402], [-82.519, 41.387], [-82.5, 41.382], [-82.469, 41.384], [-82.448, 41.391], [-82.367, 41.425], [-82.349, 41.429]]]]"
83,Erie,2023,303,"[[[[-82.694, 41.616], [-82.676, 41.613], [-82.676, 41.602], [-82.693, 41.588], [-82.733, 41.605], [-82.721, 41.621], [-82.709, 41.625], [-82.694, 41.616]]], [[[-82.349, 41.429], [-82.342, 41.284], [-82.442, 41.284], [-82.542, 41.286], [-82.742, 41.288], [-82.842, 41.29], [-82.847, 41.43], [-82.903, 41.43], [-82.88, 41.443], [-82.858, 41.442], [-82.832, 41.455], [-82.826, 41.461], [-82.825, 41.475], [-82.806, 41.473], [-82.783, 41.463], [-82.767, 41.447], [-82.755, 41.446], [-82.731, 41.448], [-82.703, 41.461], [-82.688, 41.454], [-82.673, 41.453], [-82.649, 41.446], [-82.644, 41.432], [-82.613, 41.426], [-82.635, 41.44], [-82.651, 41.455], [-82.672, 41.468], [-82.682, 41.48], [-82.681, 41.488], [-82.652, 41.462], [-82.622, 41.442], [-82.592, 41.42], [-82.554, 41.402], [-82.519, 41.387], [-82.5, 41.382], [-82.469, 41.384], [-82.448, 41.391], [-82.367, 41.425], [-82.349, 41.429]]]]"
84,Fairfield,2020,567,"[[[-82.463, 39.93], [-82.473, 39.837], [-82.396, 39.833], [-82.404, 39.745], [-82.366, 39.742], [-82.375, 39.655], [-82.49, 39.661], [-82.496, 39.602], [-82.618, 39.609], [-82.62, 39.564], [-82.731, 39.569], [-82.731, 39.555], [-82.843, 39.561], [-82.834, 39.649], [-82.837, 39.649], [-82.824, 39.795], [-82.821, 39.824], [-82.803, 39.823], [-82.794, 39.911], [-82.813, 39.912], [-82.811, 39.941], [-82.783, 39.94], [-82.473, 39.925], [-82.463, 39.93]]]"
85,Fairfield,2021,702,"[[[-82.463, 39.93], [-82.473, 39.837], [-82.396, 39.833], [-82.404, 39.745], [-82.366, 39.742], [-82.375, 39.655], [-82.49, 39.661], [-82.496, 39.602], [-82.618, 39.609], [-82.62, 39.564], [-82.731, 39.569], [-82.731, 39.555], [-82.843, 39.561], [-82.834, 39.649], [-82.837, 39.649], [-82.824, 39.795], [-82.821, 39.824], [-82.803, 39.823], [-82.794, 39.911], [-82.813, 39.912], [-82.811, 39.941], [-82.783, 39.94], [-82.473, 39.925], [-82.463, 39.93]]]"
86,Fairfield,2022,814,"[[[-82.463, 39.93], [-82.473, 39.837], [-82.396, 39.833], [-82.404, 39.745], [-82.366, 39.742], [-82.375, 39.655], [-82.49, 39.661], [-82.496, 39.602], [-82.618, 39.609], [-82.62, 39.564], [-82.731, 39.569], [-82.731, 39.555], [-82.843, 39.561], [-82.834, 39.649], [-82.837, 39.649], [-82.824, 39.795], [-82.821, 39.824], [-82.803, 39.823], [-82.794, 39.911], [-82.813, 39.912], [-82.811, 39.941], [-82.783, 39.94], [-82.473, 39.925], [-82.463, 39.93]]]"
87,Fairfield,2023,747,"[[[-82.463, 39.93], [-82.473, 39.837], [-82.396, 39.833], [-82.404, 39.745], [-82.366, 39.742], [-82.375, 39.655], [-82.49, 39.661], [-82.496, 39.602], [-82.618, 39.609], [-82.62, 39.564], [-82.731, 39.569], [-82.731, 39.555], [-82.843, 39.561], [-82.834, 39.649], [-82.837, 39.649], [-82.824, 39.795], [-82.821, 39.824], [-82.803, 39.823], [-82.794, 39.911], [-82.813, 39.912], [-82.811, 39.941], [-82.783, 39.94], [-82.473, 39.925], [-82.463, 39.93]]]"
88,Fayette,2020,153,"[[[-83.373, 39.377], [-83.591, 39.379], [-83.576, 39.545], [-83.67, 39.55], [-83.653, 39.717], [-83.625, 39.715], [-83.423, 39.703], [-83.253, 39.695], [-83.267, 39.516], [-83.373, 39.377]]]"
89,Fayette,2021,71,"[[[-83.373, 39.377], [-83.591, 39.379], [-83.576, 39.545], [-83.67, 39.55], [-83.653, 39.717], [-83.625, 39.715], [-83.423, 39.703], [-83.253, 39.695], [-83.267, 39.516], [-83.373, 39.377]]]"
90,Fayette,2022,184,"[[[-83.373, 39.377], [-83.591, 39.379], [-83.576, 39.545], [-83.67, 39.55], [-83.653, 39.717], [-83.625, 39.715], [-83.423, 39.703], [-83.253, 39.695], [-83.267, 39.516], [-83.373, 39.377]]]"
91,Fayette,2023,107,"[[[-83.373, 39.377], [-83.591, 39.379], [-83.576, 39.545], [-83.67, 39.55], [-83.653, 39.717], [-83.625, 39.715], [-83.423, 39.703], [-83.253, 39.695], [-83.267, 39.516], [-83.373, 39.377]]]"
92,Franklin,2020,8750,"[[[-82.762, 40.126], [-82.773, 39.976], [-82.78, 39.976], [-82.783, 39.94], [-82.811, 39.941], [-82.813, 39.912], [-82.794, 39.911], [-82.803, 39.823], [-82.821, 39.824], [-82.824, 39.795], [-83.038, 39.806], [-83.185, 39.809], [-83.244, 39.813], [-83.252, 39.917], [-83.235, 39.926], [-83.238, 39.943], [-83.25, 39.955], [-83.253, 39.981], [-83.266, 40.007], [-83.256, 40.022], [-83.263, 40.042], [-83.262, 40.05], [-83.212, 40.048], [-83.206, 40.108], [-83.17, 40.107], [-83.17, 40.143], [-83.068, 40.138], [-82.938, 40.134], [-82.762, 40.126]]]"
93,Franklin,2021,9842,"[[[-82.762, 40.126], [-82.773, 39.976], [-82.78, 39.976], [-82.783, 39.94], [-82.811, 39.941], [-82.813, 39.912], [-82.794, 39.911], [-82.803, 39.823], [-82.821, 39.824], [-82.824, 39.795], [-83.038, 39.806], [-83.185, 39.809], [-83.244, 39.813], [-83.252, 39.917], [-83.235, 39.926], [-83.238, 39.943], [-83.25, 39.955], [-83.253, 39.981], [-83.266, 40.007], [-83.256, 40.022], [-83.263, 40.042], [-83.262, 40.05], [-83.212, 40.048], [-83.206, 40.108], [-83.17, 40.107], [-83.17, 40.143], [-83.068, 40.138], [-82.938, 40.134], [-82.762, 40.126]]]"
94,Franklin,2022,9575,"[[[-82.762, 40.126], [-82.773, 39.976], [-82.78, 39.976], [-82.783, 39.94], [-82.811, 39.941], [-82.813, 39.912], [-82.794, 39.911], [-82.803, 39.823], [-82.821, 39.824], [-82.824, 39.795], [-83.038, 39.806], [-83.185, 39.809], [-83.244, 39.813], [-83.252, 39.917], [-83.235, 39.926], [-83.238, 39.943], [-83.25, 39.955], [-83.253, 39.981], [-83.266, 40.007], [-83.256, 40.022], [-83.263, 40.042], [-83.262, 40.05], [-83.212, 40.048], [-83.206, 40.108], [-83.17, 40.107], [-83.17, 40.143], [-83.068, 40.138], [-82.938, 40.134], [-82.762, 40.126]]]"
95,Franklin,2023,9431,"[[[-82.762, 40.126], [-82.773, 39.976], [-82.78, 39.976], [-82.783, 39.94], [-82.811, 39.941], [-82.813, 39.912], [-82.794, 39.911], [-82.803, 39.823], [-82.821, 39.824], [-82.824, 39.795], [-83.038, 39.806], [-83.185, 39.809], [-83.244, 39.813], [-83.252, 39.917], [-83.235, 39.926], [-83.238, 39.943], [-83.25, 39.955], [-83.253, 39.981], [-83.266, 40.007], [-83.256, 40.022], [-83.263, 40.042], [-83.262, 40.05], [-83.212, 40.048], [-83.206, 40.108], [-83.17, 40.107], [-83.17, 40.143], [-83.068, 40.138], [-82.938, 40.134], [-82.762, 40.126]]]"
96,Fulton,2020,78,"[[[-83.883, 41.487], [-84.343, 41.486], [-84.342, 41.514], [-84.381, 41.514], [-84.381, 41.617], [-84.398, 41.617], [-84.399, 41.707], [-84.14, 41.712], [-84, 41.716], [-83.886, 41.719], [-83.878, 41.644], [-83.882, 41.618], [-83.883, 41.487]]]"
97,Fulton,2021,130,"[[[-83.883, 41.487], [-84.343, 41.486], [-84.342, 41.514], [-84.381, 41.514], [-84.381, 41.617], [-84.398, 41.617], [-84.399, 41.707], [-84.14, 41.712], [-84, 41.716], [-83.886, 41.719], [-83.878, 41.644], [-83.882, 41.618], [-83.883, 41.487]]]"
98,Fulton,2022,98,"[[[-83.883, 41.487], [-84.343, 41.486], [-84.342, 41.514], [-84.381, 41.514], [-84.381, 41.617], [-84.398, 41.617], [-84.399, 41.707], [-84.14, 41.712], [-84, 41.716], [-83.886, 41.719], [-83.878, 41.644], [-83.882, 41.618], [-83.883, 41.487]]]"
99,Fulton,2023,141,"[[[-83.883, 41.487], [-84.343, 41.486], [-84.342, 41.514], [-84.381, 41.514], [-84.381, 41.617], [-84.398, 41.617], [-84.399, 41.707], [-84.14, 41.712], [-84, 41.716], [-83.886, 41.719], [-83.878, 41.644], [-83.882, 41.618], [-83.883, 41.487]]]"
